구,업종코드,업종이름,검색업종,23.12,24.01,24.02,24.03,24.04,24.05,24.06,24.07,24.08,24.09,24.10,24.11,24.12
양동,I21001,빵/도넛,업종 음식 > 기타 간이 > 빵/도넛,82,75,77,58,44,40,48,65,47,41,42,99,82
양동,I21006,치킨,업종 음식 > 기타 간이 > 치킨,111,104,86,112,105,119,70,83,111,202,252,89,387
양동,I21201,카페,업종 음식 > 비알코올 > 카페,82,75,77,58,44,40,48,65,47,41,42,99,82
